Indicator,Year,Geography,FIPS,Race,Sex,Age group,Misc,Rate,Cases,Population
Congenital Syphilis,2015,Acadia Parish (Louisiana),22001,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,907
Congenital Syphilis,2015,Allen Parish (Louisiana),22003,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,357
Congenital Syphilis,2015,Ascension Parish (Louisiana),22005,All races/ethnicities,Both sexes,All age groups,All transmission categories,58.5,1,1710
Congenital Syphilis,2015,Assumption Parish (Louisiana),22007,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,268
Congenital Syphilis,2015,Avoyelles Parish (Louisiana),22009,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,569
Congenital Syphilis,2015,Beauregard Parish (Louisiana),22011,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,478
Congenital Syphilis,2015,Bienville Parish (Louisiana),22013,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,137
Congenital Syphilis,2015,Bossier Parish (Louisiana),22015,All races/ethnicities,Both sexes,All age groups,All transmission categories,114.4,2,1748
Congenital Syphilis,2015,Caddo Parish (Louisiana),22017,All races/ethnicities,Both sexes,All age groups,All transmission categories,182.5,7,3835
Congenital Syphilis,2015,Calcasieu Parish (Louisiana),22019,All races/ethnicities,Both sexes,All age groups,All transmission categories,36.7,1,2728
Congenital Syphilis,2015,Caldwell Parish (Louisiana),22021,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,119
Congenital Syphilis,2015,Cameron Parish (Louisiana),22023,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,67
Congenital Syphilis,2015,Catahoula Parish (Louisiana),22025,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,153
Congenital Syphilis,2015,Claiborne Parish (Louisiana),22027,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,172
Congenital Syphilis,2015,Concordia Parish (Louisiana),22029,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,240
Congenital Syphilis,2015,De Soto Parish (Louisiana),22031,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,333
Congenital Syphilis,2015,East Baton Rouge Parish (Louisiana),22033,All races/ethnicities,Both sexes,All age groups,All transmission categories,146.6,9,6141
Congenital Syphilis,2015,East Carroll Parish (Louisiana),22035,All races/ethnicities,Both sexes,All age groups,All transmission categories,775.2,1,129
Congenital Syphilis,2015,East Feliciana Parish (Louisiana),22037,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,219
Congenital Syphilis,2015,Evangeline Parish (Louisiana),22039,All races/ethnicities,Both sexes,All age groups,All transmission categories,0,0,462
